document id	author id	frequency
361	3600	1
361	17837	1
361	18850	1
363	1768	2
363	1769	1
363	8298	3
363	14277	1
363	17024	1
363	25017	3
366	20460	3
368	9009	1
368	13806	1
368	17837	12
368	20225	2
368	20719	1
368	24252	1
368	25044	1
370	1313	1
370	5304	2
370	23317	1
373	1313	2
373	6186	1
373	8298	1
373	12552	1
373	13806	1
373	18816	1
374	1313	4
374	3075	1
374	4565	1
374	7318	1
374	7703	1
374	9009	3
374	12641	1
374	13806	8
374	16446	1
374	18816	2
374	20603	1
374	24252	2
374	26060	1
375	25017	1
376	1313	3
376	1768	2
376	9009	1
376	13806	5
376	18816	2
376	20807	1
376	20988	2
377	22742	1
381	13109	3
381	13806	1
381	20164	1
382	1313	4
382	5304	2
382	9009	1
382	12094	1
382	13806	2
382	15055	2
382	18816	2
382	20164	1
382	20460	1
382	20807	1
382	21909	1
382	25044	1
384	1313	4
384	1768	1
384	4565	1
384	9009	2
384	9990	1
384	12641	1
384	13806	10
384	16446	1
384	16860	1
384	18816	3
384	20719	1
384	20988	1
384	26060	1
385	1768	3
385	21909	1
386	5304	2
387	1984	1
387	21880	1
388	1769	2
388	20397	20
389	1768	1
389	8298	9
389	11727	10
389	19549	1
389	21909	3
389	22671	1
389	24064	9
390	1313	1
390	12094	1
390	12552	2
390	13806	1
392	12094	1
399	1768	6
399	18850	9
399	19549	5
402	1313	2
402	2811	1
402	7703	1
402	13806	1
402	15055	3
402	18816	1
402	20460	1
402	25044	6
405	2015	22
405	9134	1
407	7703	1
408	2015	4
409	1768	4
409	9327	1
409	19549	1
410	1769	4
410	1984	2
410	17024	4
410	21880	2
411	9990	1
411	20603	1
411	22742	12
412	1313	1
413	14277	1
415	1313	2
415	13806	1
415	15055	1
415	18816	1
415	25044	2
416	1313	3
416	3600	3
416	5710	1
416	13806	2
416	19549	1
416	20225	1
416	20988	1
416	24252	1
417	1313	2
417	13806	2
417	16446	1
417	16860	1
417	20719	1
417	20988	1
417	22671	1
417	25044	2
418	20460	1
419	20603	2
419	23272	1
420	1313	2
420	1768	1
420	13806	1
420	18816	1
426	17284	1
428	1313	5
428	1768	1
428	3600	2
428	5710	1
428	9009	2
428	9327	1
428	9990	1
428	10815	1
428	12129	1
428	13806	9
428	16446	1
428	16860	1
428	18816	4
428	20164	1
428	20603	1
428	20719	2
428	20807	1
428	20988	2
429	2811	1
429	7703	1
432	1313	4
432	7318	1
432	7703	1
432	9009	2
432	9990	1
432	13806	6
432	16446	2
432	16860	3
432	18816	5
432	20164	1
432	20603	1
432	20719	2
432	20807	1
432	24252	1
437	1768	8
437	9327	1
437	19549	1
439	1313	1
439	1768	1
439	9327	5
439	9948	1
439	10815	1
439	13806	1
439	18816	1
439	20164	1
439	25685	1
440	1313	2
440	5304	10
440	13806	1
440	18816	1
443	1313	7
443	7318	1
443	7703	1
443	9990	1
443	13806	7
443	16446	2
443	16860	2
443	18816	3
443	20603	1
443	20719	1
443	20807	1
443	20988	2
443	24252	1
452	1768	1
452	18850	3
452	19549	2
452	21909	1
467	11727	1
470	1313	1
471	9990	1
471	16446	1
472	1313	6
472	5304	1
472	13806	4
472	18816	2
472	20988	1
478	1313	2
479	12094	1
479	13109	1
482	4696	21
482	23317	25
494	1313	3
494	7703	1
494	13806	1
494	20988	1
